staff_id,first_name,last_name,position,start_date,location
31,Lisa,Latte,Store Manager,02-07-2009,8
32,Alisa,Lysandra,Coffee Wrangler,02-02-2005,8
33,Cairo,Vaughan,Coffee Wrangler,18-02-2015,8
34,Yasir,Lillith,Coffee Wrangler,16-02-2016,8
35,Xavier,Zachary,Coffee Wrangler,07-01-2014,8
36,Anthony,Kaitlin,Store Manager,19-04-2004,9
37,Hop,Bianca,Coffee Wrangler,11-02-2015,9
38,Ezekiel,Bertha,Coffee Wrangler,15-10-2008,9
39,Vance,Samuel,Coffee Wrangler,09-06-2016,9
40,Brent,Herman,Coffee Wrangler,25-10-2001,9
41,Adrian,Macon,Store Manager,13-10-2001,10
42,Kylie,Candace,Coffee Wrangler,30-01-2011,10
43,Tatum,Laurel,Coffee Wrangler,31-01-2015,10
44,Tamekah,Maya,Coffee Wrangler,17-05-2005,10
45,Pandora,Neville,Coffee Wrangler,21-03-2019,10
46,Desiree,Anika,Store Manager,15-06-2008,FL
47,Hope,Sheila,Coffee Wrangler,31-01-2003,FL
48,Clare,Oscar,Coffee Wrangler,21-02-2003,FL
49,Gemma,Eaton,Coffee Wrangler,04-05-2013,FL
50,Dale,Joshua,Coffee Wrangler,01-10-2015,FL
51,Lawrence,Roberts,Store Manager,03-08-2001,FL
52,Melinda,Zeus,Coffee Wrangler,17-08-2003,FL
53,Sawyer,Kasper,Coffee Wrangler,11-11-2007,FL
54,Ezekiel,Griffin,Coffee Wrangler,13-09-2005,FL
55,Coby,Shelly,Coffee Wrangler,17-11-2015,FL
